val0,val1,val2,val3,val4,val5,val6,val7,val8,val9,val10,val11,val12,val13,val14,val15,val16,val17,val18,val19,val20,val21,val22,val23,val24,val25,val26,val27,val28,val29,val30,val31,val32,val33,val34,val35,val36,val37,val38,val39,val40,val41,val42,val43,val44,val45,val46,val47,val48,val49,val50,val51,val52,val53,val54,val55,val56,val57,val58,val59,val60,val61,val62,val63,val64,val65,val66,val67,val68,val69,val70,val71,val72,val73,val74,val75,val76,val77,val78,val79,val80,val81,val82,val83,val84,val85,val86,val87,val88,val89,val90,val91,val92,val93,val94,val95,val96,val97,val98,val99
0,0,0,5,0,0,0,0,0,1,0,94,109,0,5,11,0,0,0,0,0,0,0,18,98,15,88,0,11,4,1,1,0,0,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,15,0,0,0,0,0,0,11,6,0,0,0,32,1,0,0,0,0,0,49,54,92,20,12,0,0,0,1,0,0,2,0,3,2,2,0,0,6,72,5,0,0,92,49,1
0,0,0,8,0,0,0,0,0,3,0,73,129,0,9,1,0,0,0,0,0,0,0,19,75,27,91,0,7,5,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,16,0,0,0,0,1,0,8,18,0,0,0,38,0,0,0,0,0,0,35,55,83,21,21,0,0,0,0,0,3,2,0,2,1,8,0,0,11,64,5,0,0,60,64,0
0,0,0,7,0,0,0,0,0,2,0,113,117,0,10,2,0,0,0,0,0,0,0,19,106,13,87,0,14,2,2,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,19,0,0,0,0,0,0,13,12,0,1,0,23,3,0,0,0,0,0,45,48,91,27,11,0,0,0,0,0,1,2,0,3,1,5,0,0,5,64,13,0,0,60,50,0
0,0,1,8,0,0,0,0,0,1,0,101,116,0,3,4,0,0,0,0,0,0,0,31,75,13,69,0,16,3,1,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,15,0,0,0,0,0,0,11,8,0,0,0,18,2,0,0,0,0,0,37,60,95,21,10,0,0,0,0,0,4,4,0,4,1,4,0,0,12,64,9,0,0,99,57,0
0,0,0,7,0,0,0,0,0,2,0,130,102,0,7,6,0,0,0,0,0,0,0,7,98,13,78,0,12,7,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,6,0,0,0,0,0,0,2,9,0,0,1,20,0,0,0,0,0,0,50,80,106,18,8,0,0,0,0,0,1,5,0,2,1,2,0,0,5,48,8,0,1,86,48,0
0,0,0,5,1,0,0,0,0,1,0,76,126,0,6,7,0,0,0,0,0,0,0,0,0,18,62,0,18,3,78,12,1,0,3,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,9,0,0,0,0,0,0,9,8,0,0,1,23,1,0,0,0,0,0,93,80,55,12,15,0,0,0,0,0,1,5,1,6,1,6,0,0,8,43,10,0,1,48,33,0
1,0,0,10,2,0,0,0,0,1,0,94,111,0,4,7,0,0,0,0,0,0,0,0,0,17,48,0,14,3,72,3,1,0,2,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,14,0,0,0,0,0,0,4,9,0,0,0,20,2,0,0,0,0,0,109,88,53,24,13,0,0,0,0,0,2,4,0,2,0,4,0,0,18,37,2,0,0,32,49,0
0,0,0,4,1,0,0,0,0,0,0,101,143,0,4,2,0,0,0,0,0,0,0,0,0,7,67,0,7,2,99,8,1,0,6,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,56,7,0,0,0,0,0,0,6,7,0,0,0,29,1,0,0,0,0,0,99,63,46,24,7,0,0,0,0,0,2,2,0,2,1,2,0,0,7,50,4,0,0,33,50,0
0,0,0,4,2,0,1,0,0,1,0,113,115,0,4,1,0,0,0,0,0,0,0,0,0,8,57,0,6,3,71,6,0,0,4,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,55,20,0,0,0,0,0,0,8,10,0,0,0,20,2,0,0,0,0,0,69,92,57,28,13,0,0,0,0,0,1,4,0,4,0,1,0,0,8,79,6,0,0,18,26,0
0,0,0,4,0,0,0,0,0,0,0,132,128,0,6,7,0,0,0,0,0,0,0,0,0,9,78,0,12,2,79,13,1,0,8,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,16,0,0,0,0,0,0,6,10,0,0,0,18,1,0,0,0,0,0,78,89,38,13,10,0,0,0,0,0,1,2,0,4,1,1,0,0,8,58,6,0,0,43,38,0
0,0,0,12,3,0,0,0,0,3,0,169,169,1,5,7,0,0,0,0,0,0,0,4,3,20,110,0,10,4,103,3,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,49,6,0,0,0,0,0,1,13,18,0,0,0,24,4,0,0,0,0,1,10,32,85,9,17,0,1,0,0,0,5,5,0,7,1,1,0,0,12,50,5,0,0,38,25,0
0,0,0,14,2,0,0,1,0,2,2,148,107,1,5,9,0,0,1,0,0,0,0,2,9,28,79,0,10,4,148,10,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,45,16,0,0,0,0,0,0,12,15,0,0,0,45,3,0,0,0,0,0,21,45,77,23,10,0,1,0,0,0,1,2,0,3,4,6,0,0,12,60,2,0,0,28,31,0
0,0,0,5,2,0,0,0,0,2,0,135,159,0,4,12,0,0,0,1,0,0,0,2,11,21,96,0,17,8,157,15,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,79,16,0,0,0,0,0,0,4,8,0,0,0,32,2,0,0,0,0,0,17,30,51,17,19,0,0,0,0,0,1,1,1,2,4,8,0,0,11,43,4,0,0,27,17,1
0,1,0,16,2,0,0,0,1,3,1,110,163,0,9,7,0,0,0,0,0,0,0,2,13,23,72,0,14,6,138,16,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,76,29,0,1,0,0,0,0,8,15,0,0,0,28,2,0,0,1,0,0,16,28,59,11,18,0,0,0,0,1,1,1,0,5,4,5,0,0,9,50,3,0,0,46,32,0
